wikidata_id	title	author	genre	characters	open_library_id	plot	authors	first_publish_date	first_sentence	genres	locations	publication_year	subjects	time_periods
Q112603277	Drowned Gold	Roy Norton			OL15261030W		[{'wikidata_id': 'Q36988244', 'name': 'Roy Norton'}]					1919		
Q96972749	The Private Joys of Nnenna Maloney	Okechukwu Nzelu			OL29424426M		[{'wikidata_id': 'Q96972834', 'name': 'Okechukwu Nzelu'}]						English literature	
Q3812909	Kaputt Mundi	Ben Pastor	crime fiction		OL36426880W		[{'wikidata_id': 'Q3637947', 'name': 'Ben Pastor'}]			['crime fiction']		2002		
Q18418764	The Road to Ithaca	Ben Pastor	historical mystery		OL20002211W		[{'wikidata_id': 'Q3637947', 'name': 'Ben Pastor'}]			['historical mystery']		2014		
Q112432209	The Black Gang	H. C. McNeile			OL439737W		[{'wikidata_id': 'Q3134064', 'name': 'H. C. McNeile'}]					1922		
Q57077606	The Sheriff's Son	William MacLeod Raine	Western novel|mystery novel|thriller novel		OL7129913M		[{'wikidata_id': 'Q8014968', 'name': 'William MacLeod Raine'}]			['Western novel', 'mystery novel', 'thriller novel']		1918		
Q60021556	St. Ives				OL24243545M		[{'wikidata_id': 'Q1512', 'name': 'Robert Louis Stevenson'}, {'wikidata_id': 'Q322871', 'name': 'Arthur Quiller-Couch'}]					1909		
Q99777276	Djinn Patrol on the Purple Line	Deepa Anappara			OL33694566M		[{'wikidata_id': 'Q99767701', 'name': 'Deepa Anappara'}]					2020	Missing persons, fiction|India, fiction|Fiction, mystery & detective, general|Fiction, coming of age	
Q19346391	Hominids	Robert J. Sawyer	science fiction		OL17020W	From back cover Tor paperback February 2003:  *Hominids* examines two unique species of people.  *We* are one of those species; the other is the Neanderthals of a parallel world where *they* became the dominant intelligence.  The Neanderthal civilization has reached heights of culture and science comparable to our own, but with radically different history, society and philosophy.  Ponter Boddit, a Neanderthal physicist, accidentally pierces the barrier between worlds and is transferred to our universe.  Almost immediately recognized as a Neanderthal, but only much later as a scientist, he is quarantined and studied, alone and bewildered, a stranger in a strange land.  But Ponter is also befriended -- by a doctor and a physicist who share his questing intelligence, and especially by Canadian geneticist Mary Vaughan, a woman with whom he develops a special rapport.  Ponter's partner, Adikor Huld, finds himself with a messy lab, a missing body, suspicious people all around and an explosive murder trial.  How can he possibly prove his innocence when he has no idea what actually happened to Ponter?	[{'wikidata_id': 'Q362742', 'name': 'Robert J. Sawyer'}]	2002	The blackness was absolute.	['science fiction']		2002	Fiction|Neanderthals|Prehistoric peoples|Hugo Award Winner|award:hugo_award=2003|award:hugo_award=novel|Neanderthals -- Fiction|Prehistoric peoples -- Fiction|Fiction, science fiction, action & adventure	
Q57410683	The Courage of Captain Plum	James Oliver Curwood	mystery novel|adventure novel		OL7056957M		[{'wikidata_id': 'Q468156', 'name': 'James Oliver Curwood'}]			['mystery novel', 'adventure novel']				
