ASPECT	VALUE	TYPE	DOLCE
BOOK#AUDIENCE	child	demographic profile	Person
BOOK#AUDIENCE	young adult	phase of human life	Person
BOOK#AUTHOR	Adam Smith	human	Person
BOOK#AUTHOR	Charles Darwin	human	Person
BOOK#AUTHOR	Dee Brown	human	Person
BOOK#AUTHOR	E. B. White	human	Person
BOOK#AUTHOR	E. L. James	human	Person
BOOK#AUTHOR	Edith Wharton	human	Person
BOOK#AUTHOR	Edward Gibbon	human	Person
BOOK#AUTHOR	F. Scott Fitzgerald	human	Person
BOOK#AUTHOR	Frances Hodgson Burnett	human	Person
BOOK#AUTHOR	G. K. Chesterton	human	Person
BOOK#AUTHOR	H. G. Wells	human	Person
BOOK#AUTHOR	Henry Fielding	human	Person
BOOK#AUTHOR	Henry James	human	Person
BOOK#AUTHOR	Henry Wadsworth Longfellow	human	Person
BOOK#AUTHOR	Homer	human whose existence is disputed	Person
BOOK#AUTHOR	Howard Zinn	human	Person
BOOK#AUTHOR	Jack London	human	Person
BOOK#AUTHOR	James Boswell	human	Person
BOOK#AUTHOR	James Fenimore Cooper	human	Person
BOOK#AUTHOR	James Hilton	human	Person
BOOK#AUTHOR	James Patterson	human	Person
BOOK#AUTHOR	James Weldon Johnson	human	Person
BOOK#AUTHOR	John Green	human	Person
BOOK#AUTHOR	John Milton	human	Person
BOOK#AUTHOR	Josephine Tey	human	Person
BOOK#AUTHOR	Larry Collins	human	Person
BOOK#AUTHOR	Lee Child	human	Person
BOOK#AUTHOR	Louisa May Alcott	human	Person
BOOK#AUTHOR	Mark Manson	human	Person
BOOK#AUTHOR	Mary Shelley	human	Person
BOOK#AUTHOR	Mary Wollstonecraft	human	Person
BOOK#AUTHOR	Oliver Sacks	human	Person
BOOK#AUTHOR	Patti Smith	human	Person
BOOK#AUTHOR	Richard Doddridge Blackmore	human	Person
BOOK#AUTHOR	Robert W. Chambers	human	Person
BOOK#AUTHOR	Sinclair Lewis	human	Person
