ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
BOOK#AUDIENCE	child	demographic profile		
BOOK#AUDIENCE	young adult	phase of human life		
BOOK#AUTHOR	Adam Smith	human		
BOOK#AUTHOR	Charles Darwin	human		
BOOK#AUTHOR	Dee Brown	human		
BOOK#AUTHOR	E. B. White	human		
BOOK#AUTHOR	E. L. James	human		
BOOK#AUTHOR	Edith Wharton	human		
BOOK#AUTHOR	Edward Gibbon	human		
BOOK#AUTHOR	F. Scott Fitzgerald	human		
BOOK#AUTHOR	Frances Hodgson Burnett	human		
BOOK#AUTHOR	G. K. Chesterton	human		
BOOK#AUTHOR	H. G. Wells	human		
BOOK#AUTHOR	Henry Fielding	human		
BOOK#AUTHOR	Henry James	human		
BOOK#AUTHOR	Henry Wadsworth Longfellow	human		
BOOK#AUTHOR	Homer	human whose existence is disputed		
BOOK#AUTHOR	Howard Zinn	human		
BOOK#AUTHOR	Jack London	human		
BOOK#AUTHOR	James Boswell	human		
BOOK#AUTHOR	James Fenimore Cooper	human		
BOOK#AUTHOR	James Hilton	human		
BOOK#AUTHOR	James Patterson	human		
BOOK#AUTHOR	James Weldon Johnson	human		
BOOK#AUTHOR	John Green	human		
BOOK#AUTHOR	John Milton	human		
BOOK#AUTHOR	Josephine Tey	human		
BOOK#AUTHOR	Larry Collins	human		
BOOK#AUTHOR	Lee Child	human		
BOOK#AUTHOR	Louisa May Alcott	human		
BOOK#AUTHOR	Mark Manson	human		
BOOK#AUTHOR	Mary Shelley	human		
BOOK#AUTHOR	Mary Wollstonecraft	human		
BOOK#AUTHOR	Oliver Sacks	human		
BOOK#AUTHOR	Patti Smith	human		
BOOK#AUTHOR	Richard Doddridge Blackmore	human		
BOOK#AUTHOR	Robert W. Chambers	human		
BOOK#AUTHOR	Sinclair Lewis	human		
BOOK#AUTHOR	Stephen King	human		
BOOK#AUTHOR	Thomas More	human		
BOOK#AUTHOR	Thomas Paine	human		
BOOK#AUTHOR	Upton Sinclair	human		
BOOK#AUTHOR	Walt Whitman	human		
BOOK#AUTHOR	Walter Scott	human		
BOOK#AUTHOR	Willa Cather	human		
BOOK#AUTHOR	William Makepeace Thackeray	human		
BOOK#AUTHOR	William Shakespeare	human		
BOOK#AUTHOR	Winston Churchill	human		
BOOK#AWARD	20th Century's Greatest Hits: 100 English-Language Books of Fiction	list of best books		
BOOK#AWARD	ALA Notable Books for Children	award		
BOOK#AWARD	Arthur C. Clarke Award	science fiction award		
BOOK#AWARD	Audie Award	award		
BOOK#AWARD	Believer Book Award	award		
BOOK#AWARD	Best foreign work published in Spain	comics award		
BOOK#AWARD	Bob Morane Prize for best foreign novel	class of award		
BOOK#AWARD	Booker Prize	literary award		
BOOK#AWARD	Bram Stoker Award for Best Fiction Collection	literary award		
BOOK#AWARD	Bram Stoker Award for Best First Novel	award for best book		
BOOK#AWARD	Bram Stoker Award for Novel	literary award		
BOOK#AWARD	Corine Literature Prize	literary award		
BOOK#AWARD	Dorothy Canfield Fisher Children's Book Award	award		
BOOK#AWARD	Exclusive Books Boeke Prize	award		
BOOK#AWARD	Goodreads Choice Award for Best Children's Book	Goodreads Choice Awards		
BOOK#AWARD	Goodreads Choice Award for Best Young Adult Series	Goodreads Choice Awards		
BOOK#AWARD	Governor General's Award for English-language fiction	class of award		
BOOK#AWARD	Hugo Award for Best Novel	class of award		
BOOK#AWARD	Hugo Award for Best Novella	class of award		
BOOK#AWARD	Ignotus Award for Best Foreign Novel	literary award		
BOOK#AWARD	International Fantasy Award	literary award		
BOOK#AWARD	James Tait Black Memorial Prize	literary award		
BOOK#AWARD	Le Monde's 100 Books of the Century	hall of fame		
BOOK#AWARD	Locus Award for Best Fantasy Novel	class of award		
BOOK#AWARD	Locus Award for Best Young Adult Book	class of award		
BOOK#AWARD	Los Angeles Times Book Prize	annual event		
BOOK#AWARD	Michael L. Printz Award	literary award		
BOOK#AWARD	Modern Library 100 Best Novels	list of best books		
BOOK#AWARD	NPR Top 100 Science Fiction and Fantasy Books	literary award		
BOOK#AWARD	Nebula Award for Best Novel	Nebula Award		
BOOK#AWARD	Nestlé Children's Book Prize	award		
BOOK#AWARD	Oprah's Book Club	book club		
BOOK#AWARD	Prometheus Award	science fiction award		
BOOK#AWARD	Prometheus Award - Hall of Fame	science fiction award		
BOOK#AWARD	Pulitzer Prize for Fiction	literary award		
BOOK#AWARD	Seiun Award for Best Translated Novel	science fiction award		
BOOK#AWARD	The Big Read	list of best books		
BOOK#AWARD	The British Book Awards	literary award		
BOOK#AWARD	The Stowe Prize for Writing to Advance Social Justice	literary award		
BOOK#AWARD	The Top 100 Crime Novels of All Time	list of best books		
BOOK#AWARD	Waterstone's Children's Book Prize	literary award		
BOOK#AWARD	Women's Prize for Fiction	literary award		
BOOK#REFERENCE	A Concent of Scripture	literary work		
BOOK#REFERENCE	A Girl of the Limberlost	written work		
BOOK#REFERENCE	A Midsummer Night's Dream	dramatic work		
BOOK#REFERENCE	A Murder Is Announced	literary work		
BOOK#REFERENCE	A Portrait of the Artist as a Young Man	literary work		
BOOK#REFERENCE	A Sentimental Journey Through France and Italy	written work		
BOOK#REFERENCE	Acts 9	chapter of the Bible		
BOOK#REFERENCE	Alice's Adventures in Wonderland	literary work		
BOOK#REFERENCE	Angelica's tears	poem		
BOOK#REFERENCE	Aristotle	human		
BOOK#REFERENCE	Arsène Lupin literary series	book series		
BOOK#REFERENCE	Ash Wednesday	poem		
BOOK#REFERENCE	Athenaeus of Attalia	human		
BOOK#REFERENCE	Bluebeard	literary work		
BOOK#REFERENCE	Bradshaw's Guide	periodical		
BOOK#REFERENCE	Cavendish, or, The Patrician at Sea	literary work		
BOOK#REFERENCE	Charles Darwin	human		
BOOK#REFERENCE	Charles Wilkes	human		
BOOK#REFERENCE	Childe Harold's Pilgrimage	poem in alexandrines		
BOOK#REFERENCE	Cyrus West Field	human		
BOOK#REFERENCE	David Copperfield	written work		
BOOK#REFERENCE	Desire Under the Elms	literary work		
BOOK#REFERENCE	Dombey and Son	literary work		
BOOK#REFERENCE	Edward Bransfield	human		
BOOK#REFERENCE	Essays, Philosophical, Historical, and Literary	literary work		
BOOK#REFERENCE	Evelyn Hope	poem		
BOOK#REFERENCE	First Alcibiades	Platonic dialogue		
BOOK#REFERENCE	George Washington	human		
BOOK#REFERENCE	Gerontion	poem		
BOOK#REFERENCE	God Rest You Merry, Gentlemen	musical work/composition		
BOOK#REFERENCE	Greek mythology	mythology		
BOOK#REFERENCE	Henri Milne-Edwards	human		
BOOK#REFERENCE	Home of the Gentry	literary work		
BOOK#REFERENCE	Homer	human whose existence is disputed		
BOOK#REFERENCE	In Search of Lost Time	book series		
BOOK#REFERENCE	James Clark Ross	human		
BOOK#REFERENCE	John Brown	human		
BOOK#REFERENCE	Kate Kearney	musical work/composition		
BOOK#REFERENCE	Land of the Leal	musical work/composition		
BOOK#REFERENCE	Letters to Benjamin Bailey	group of works		
BOOK#REFERENCE	Little Dorrit	literary work		
BOOK#REFERENCE	Little Women	literary work		
BOOK#REFERENCE	London	poem		
BOOK#REFERENCE	Love Between Brothers and Sisters	poem		
BOOK#REFERENCE	Love's Labour's Lost	dramatic work		
BOOK#REFERENCE	Léon Foucault	human		
BOOK#REFERENCE	Mabel on Midsummer Day: A Story of the Olden Time	poem		
BOOK#REFERENCE	Mary Stuart	written work		
BOOK#REFERENCE	Mr. Pim Passes By	literary work		
BOOK#REFERENCE	Mutability	version, edition, or translation		
BOOK#REFERENCE	Nevermore	literary work		
BOOK#REFERENCE	Norna; or, The Witch's Curse	literary work		
BOOK#REFERENCE	Nothing to Wear	poem		
BOOK#REFERENCE	On Women	written work		
BOOK#REFERENCE	One Thousand and One Nights	literary work		
BOOK#REFERENCE	Parallel Lives	literary work		
BOOK#REFERENCE	Physical Geography Of The Sea 1855	version, edition, or translation		
BOOK#REFERENCE	Pliny the Elder	human		
BOOK#REFERENCE	Possessed	film		
BOOK#REFERENCE	Psyche Revived by Cupid's Kiss	sculpture		
BOOK#REFERENCE	Rubáiyát of Omar Khayyám	written work		
BOOK#REFERENCE	See the conqu'ring hero comes!	musical work/composition		
BOOK#REFERENCE	Sermons to Young Women	literary work		
BOOK#REFERENCE	Sintram and His Companions	literary work		
BOOK#REFERENCE	Sleeping Beauty	folktale type		
BOOK#REFERENCE	Soliloquy of the Spanish Cloister	poem		
BOOK#REFERENCE	Speed the Plough	literary work		
BOOK#REFERENCE	Strange Case of Dr Jekyll and Mr Hyde	literary work		
BOOK#REFERENCE	The Acharnians	dramatic work		
BOOK#REFERENCE	The Age of Innocence	painting		
BOOK#REFERENCE	The Birth of Venus	painting		
BOOK#REFERENCE	The Blue Bird	literary work		
BOOK#REFERENCE	The Bracelet of Memory	literary work		
BOOK#REFERENCE	The Contention of Ajax and Ulysses	literary work		
BOOK#REFERENCE	The Cricket on the Hearth	literary work		
BOOK#REFERENCE	The Death-Bed	poem		
BOOK#REFERENCE	The Deserted Village	literary work		
BOOK#REFERENCE	The Dog in the Manger	fable		
BOOK#REFERENCE	The Double	literary work		
BOOK#REFERENCE	The Emperor's New Clothes	literary work		
BOOK#REFERENCE	The Giaour	poem		
BOOK#REFERENCE	The Heir of Redclyffe	literary work		
BOOK#REFERENCE	The History of Rasselas, Prince of Abissinia	written work		
BOOK#REFERENCE	The Life and Opinions of Tristram Shandy, Gentleman	literary work		
BOOK#REFERENCE	The Life of Samuel Johnson	written work		
BOOK#REFERENCE	The Little Mermaid	fairy tale		
BOOK#REFERENCE	The Masked Marriage. A Tale of Venice	literary work		
BOOK#REFERENCE	The Narrative of Arthur Gordon Pym of Nantucket	literary work		
BOOK#REFERENCE	The North Wind and the Sun	fable		
BOOK#REFERENCE	The Old Man of the Sea: A Nightmare Dream by Daylight	poem		
BOOK#REFERENCE	The Pickwick Papers	serialized fiction		
BOOK#REFERENCE	The Pilgrim's Progress	literary work		
BOOK#REFERENCE	The Rainy Day	poem		
BOOK#REFERENCE	The Rime of the Ancient Mariner	poem		
